Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC
2013;LICENCE PRO;0561718N;Bretagne-Sud;A14;Rennes;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;45;79;19;91;52;60;100;1500;23400;23.00;8.8;1730;9;41;46;1390;2050;Bretagne-Sud_18;disc01_18
2013;LICENCE PRO;0561718N;Bretagne-Sud;A14;Rennes;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;45;79;19;87;53;72;97;1560;24400;23.00;8.8;1730;13;41;46;1390;2050;Bretagne-Sud_30;disc04_30
2013;LICENCE PRO;0561718N;Bretagne-Sud;A14;Rennes;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;46;85;20;91;86;79;95;1680;26100;23.00;8.8;1730;47;76;34;1390;2050;Bretagne-Sud_18;disc16_18
2013;LICENCE PRO;0561718N;Bretagne-Sud;A14;Rennes;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;25;76;11;ns;ns;ns;ns;ns;ns;23.00;8.8;1730;ns;ns;ns;1390;2050;Bretagne-Sud_30;disc17_30
2013;LICENCE PRO;0593279U;Valenciennes - Hainaut-Cambrésis;A09;Lille;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;99;57;39;89;52;58;97;1400;21800;32.00;12.4;1820;4;19;65;1480;2120;Valenciennes - Hainaut-Cambrésis_18;disc01_18
2013;LICENCE PRO;0593279U;Valenciennes - Hainaut-Cambrésis;A09;Lille;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;9;71;3;ns;ns;ns;ns;ns;ns;32.00;12.4;1820;ns;ns;ns;1480;2120;Valenciennes - Hainaut-Cambrésis_30;disc10_30
2013;LICENCE PRO;0593279U;Valenciennes - Hainaut-Cambrésis;A09;Lille;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;134;65;45;86;79;63;98;1520;23700;32.00;12.4;1820;4;24;17;1480;2120;Valenciennes - Hainaut-Cambrésis_18;disc15_18
2013;LICENCE PRO;0593559Y;Lille 1 - Sciences technologies;A09;Lille;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;132;86;44;91;55;69;98;1460;22800;26.00;12.4;1820;9;21;63;1480;2120;Lille 1 - Sciences technologies_18;disc01_18
2013;LICENCE PRO;0593559Y;Lille 1 - Sciences technologies;A09;Lille;DEG;Droit, économie et gestion;disc03;Économie;18 mois après le diplôme;;10;94;3;ns;ns;ns;ns;ns;ns;26.00;12.4;1820;ns;ns;ns;1480;2120;Lille 1 - Sciences technologies_18;disc03_18
2013;LICENCE PRO;0593559Y;Lille 1 - Sciences technologies;A09;Lille;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;28;87;9;ns;ns;ns;ns;ns;ns;26.00;12.4;1820;ns;ns;ns;1480;2120;Lille 1 - Sciences technologies_18;disc07_18
