Annee;Diplôme;Numéro de l'établissement;Etablissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Taux d'insertion;% emplois stables;% emplois à  temps plein;Salaire brut annuel estimé;% de diplômés boursiers;% emplois cadre;% emplois extérieurs à  la région de l'université;% femmes;cle_ETAB;cle_DISC
2014;MASTER LMD;0342321N;Montpellier;A11;Montpellier;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;97;85;97;32700;32.00;36;29;49;Montpellier_30;disc05_30
2012;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;75;31;89;27300;18.00;36;29;70;Paris 1 - Panthéon Sorbonne_18;disc11_18
2012;MASTER LMD;0751717J;Paris 1 - Panthéon Sorbonne;A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;81;43;93;27400;18.00;36;29;70;Paris 1 - Panthéon Sorbonne_30;disc11_30
2014;LICENCE PRO;0772502B;Paris-Est Marne-la-Vallée;A24;Créteil;DEG;Droit, économie et gestion;disc03;Economie;18 mois après le diplôme;85;83;96;23400;8.00;36;29;59;Paris-Est Marne-la-Vallée_18;disc03_18
2014;LICENCE PRO;0772502B;Paris-Est Marne-la-Vallée;A24;Créteil;DEG;Droit, économie et gestion;disc03;Economie;30 mois après le diplôme;93;81;99;27300;8.00;36;29;59;Paris-Est Marne-la-Vallée_30;disc03_30
2013;MASTER LMD;0772502B;Paris-Est Marne-la-Vallée;A24;Créteil;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;91;93;100;34100;13.00;36;29;36;Paris-Est Marne-la-Vallée_30;disc15_30
2013;MASTER LMD;0772502B;Paris-Est Marne-la-Vallée;A24;Créteil;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;93;85;99;31200;13.00;36;29;36;Paris-Est Marne-la-Vallée_18;disc15_18
2013;MASTER LMD;0860856N;Poitiers;A13;Poitiers;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;84;63;95;28700;41.00;36;29;35;Poitiers_18;disc12_18
2013;MASTER LMD;0860856N;Poitiers;A13;Poitiers;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;94;75;95;31200;41.00;36;29;35;Poitiers_30;disc12_30
2011;MASTER LMD;0860856N;Poitiers;A13;Poitiers;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;86;52;77;24200;32.00;36;29;72;Poitiers_30;disc07_30
2014;LICENCE PRO;0350936C;Rennes 1;A14;Rennes;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;94;89;99;26500;15.00;36;29;14;Rennes 1_30;disc15_30
2014;LICENCE PRO;0350936C;Rennes 1;A14;Rennes;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;92;71;99;24600;15.00;36;29;14;Rennes 1_18;disc15_18
2014;LICENCE PRO;0421095M;Saint-Etienne - Jean Monnet;A10;Lyon;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;95;64;96;24700;12.00;36;29;48;Saint-Etienne - Jean Monnet_18;disc01_18
