Annee;Diplôme;Numéro de l'établissement;Etablissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Taux d'insertion;% emplois stables;% emplois à  temps plein;Salaire brut annuel estimé;% de diplômés boursiers;% emplois cadre;% emplois extérieurs à  la région de l'université;% femmes;cle_ETAB;cle_DISC
2014;LICENCE PRO;0860856N;Poitiers;A13;Poitiers;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;83;53;85;ns;30.00;ns;ns;70;Poitiers_18;disc07_18
2014;LICENCE PRO;0860856N;Poitiers;A13;Poitiers;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;81;ns;ns;ns;30.00;ns;ns;70;Poitiers_30;disc07_30
2014;MASTER LMD;0511296G;Reims - Champagne Ardenne;A19;Reims;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;91;ns;ns;ns;36.00;ns;ns;56;Reims - Champagne Ardenne_30;disc14_30
2010;MASTER LMD;0511296G;Reims - Champagne Ardenne;A19;Reims;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;91;ns;ns;ns;43.00;ns;ns;nd;Reims - Champagne Ardenne_30;disc02_30
2014;MASTER LMD;0511296G;Reims - Champagne Ardenne;A19;Reims;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;71;ns;ns;ns;36.00;ns;ns;56;Reims - Champagne Ardenne_18;disc14_18
2014;MASTER LMD;0511296G;Reims - Champagne Ardenne;A19;Reims;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;88;ns;ns;ns;36.00;ns;ns;46;Reims - Champagne Ardenne_30;disc13_30
2014;MASTER LMD;0511296G;Reims - Champagne Ardenne;A19;Reims;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;81;ns;ns;ns;36.00;ns;ns;46;Reims - Champagne Ardenne_18;disc13_18
2014;LICENCE PRO;0350936C;Rennes 1;A14;Rennes;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;94;80;ns;ns;15.00;ns;ns;46;Rennes 1_30;disc05_30
2014;LICENCE PRO;0350936C;Rennes 1;A14;Rennes;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;94;70;100;ns;15.00;ns;ns;46;Rennes 1_18;disc05_18
2014;MASTER LMD;0830766G;Toulon - Sud Toulon Var;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;88;ns;ns;ns;35.00;ns;ns;59;Toulon - Sud Toulon Var_30;disc04_30
2014;MASTER LMD;0830766G;Toulon - Sud Toulon Var;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;76;ns;ns;ns;35.00;ns;ns;59;Toulon - Sud Toulon Var_18;disc04_18
2013;LICENCE PRO;0830766G;Toulon - Sud Toulon Var;A23;Nice;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;78;ns;ns;ns;31.00;ns;ns;18;Toulon - Sud Toulon Var_30;disc07_30
2013;LICENCE PRO;0830766G;Toulon - Sud Toulon Var;A23;Nice;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;ns;ns;ns;ns;31.00;ns;ns;18;Toulon - Sud Toulon Var_18;disc07_18
2013;LICENCE PRO;0830766G;Toulon - Sud Toulon Var;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;ns;ns;ns;ns;31.00;ns;ns;18;Toulon - Sud Toulon Var_18;disc10_18
2013;LICENCE PRO;0830766G;Toulon - Sud Toulon Var;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;78;ns;ns;ns;31.00;ns;ns;18;Toulon - Sud Toulon Var_30;disc10_30
2012;MASTER LMD;0311383K;Toulouse - Jean Jaures;A16;Toulouse;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;78;ns;ns;ns;37.00;ns;ns;75;Toulouse - Jean Jaures_18;disc04_18
2012;MASTER LMD;0311383K;Toulouse - Jean Jaures;A16;Toulouse;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;88;ns;ns;ns;37.00;ns;ns;75;Toulouse - Jean Jaures_30;disc04_30
2014;LICENCE PRO;0311383K;Toulouse - Jean Jaures;A16;Toulouse;DEG;Droit, économie et gestion;disc03;Economie;30 mois après le diplôme;94;77;97;ns;26.00;ns;ns;56;Toulouse - Jean Jaures_30;disc03_30
2014;LICENCE PRO;0311383K;Toulouse - Jean Jaures;A16;Toulouse;DEG;Droit, économie et gestion;disc03;Economie;18 mois après le diplôme;82;ns;ns;ns;26.00;ns;ns;56;Toulouse - Jean Jaures_18;disc03_18
2013;MASTER LMD;0370800U;Tours - François Rabelais;A18;Orléans-Tours;DEG;Droit, économie et gestion;disc02;Droit;18 mois après le diplôme;94;ns;ns;ns;32.00;ns;ns;71;Tours - François Rabelais_18;disc02_18
2013;MASTER LMD;0370800U;Tours - François Rabelais;A18;Orléans-Tours;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;78;ns;ns;ns;32.00;ns;ns;71;Tours - François Rabelais_30;disc02_30
2013;LICENCE PRO;0781944P;Versailles Saint-Quentin-en-Yvelines;A25;Versailles;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;84;ns;ns;ns;4.00;ns;ns;34;Versailles Saint-Quentin-en-Yvelines_30;disc07_30
2013;LICENCE PRO;0781944P;Versailles Saint-Quentin-en-Yvelines;A25;Versailles;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;85;ns;ns;ns;4.00;ns;ns;34;Versailles Saint-Quentin-en-Yvelines_18;disc07_18
2013;LICENCE PRO;0781944P;Versailles Saint-Quentin-en-Yvelines;A25;Versailles;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;85;ns;ns;ns;4.00;ns;ns;34;Versailles Saint-Quentin-en-Yvelines_18;disc11_18
2013;LICENCE PRO;0781944P;Versailles Saint-Quentin-en-Yvelines;A25;Versailles;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;94;83;100;ns;4.00;ns;ns;10;Versailles Saint-Quentin-en-Yvelines_18;disc15_18
2013;LICENCE PRO;0781944P;Versailles Saint-Quentin-en-Yvelines;A25;Versailles;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;84;ns;ns;ns;4.00;ns;ns;34;Versailles Saint-Quentin-en-Yvelines_30;disc11_30
2013;LICENCE PRO;0781944P;Versailles Saint-Quentin-en-Yvelines;A25;Versailles;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;94;93;100;ns;4.00;ns;ns;10;Versailles Saint-Quentin-en-Yvelines_30;disc15_30
2012;MASTER LMD;0134009M;Aix-Marseille;A02;Aix-Marseille;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;ns;ns;ns;ns;29.00;ns;ns;65;Aix-Marseille_18;disc05_18
2010;MASTER LMD;0134009M;Aix-Marseille;A02;Aix-Marseille;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;79;ns;ns;ns;29.00;ns;ns;nd;Aix-Marseille_30;disc05_30
2012;MASTER LMD;0134009M;Aix-Marseille;A02;Aix-Marseille;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;85;ns;ns;ns;29.00;ns;ns;65;Aix-Marseille_30;disc05_30
2014;MASTER LMD;0801344B;Amiens - Picardie Jules-Verne;A20;Amiens;DEG;Droit, économie et gestion;disc03;Economie;30 mois après le diplôme;94;84;97;ns;33.00;ns;ns;33;Amiens - Picardie Jules-Verne_30;disc03_30
2014;MASTER LMD;0801344B;Amiens - Picardie Jules-Verne;A20;Amiens;DEG;Droit, économie et gestion;disc03;Economie;18 mois après le diplôme;83;ns;ns;ns;33.00;ns;ns;33;Amiens - Picardie Jules-Verne_18;disc03_18
2012;MASTER LMD;0490970N;Angers;A17;Nantes;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;100;79;100;ns;38.00;ns;ns;78;Angers_30;disc17_30
2011;MASTER ENS;0490970N;Angers;A17;Nantes;MEEF;Masters enseignement;disc20;Masters enseignement : second degré, CPE...;30 mois après le diplôme;100;84;91;ns;34.00;ns;ns;70;Angers_30;disc20_30
2012;MASTER LMD;0490970N;Angers;A17;Nantes;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;91;ns;ns;ns;38.00;ns;ns;78;Angers_18;disc17_18
2010;MASTER LMD;0490970N;Angers;A17;Nantes;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;94;42;94;ns;33.00;ns;ns;nd;Angers_30;disc11_30
2010;MASTER LMD;0490970N;Angers;A17;Nantes;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;94;77;100;ns;33.00;ns;ns;nd;Angers_30;disc17_30
2011;MASTER LMD;0623957P;Artois;A09;Lille;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;91;40;60;ns;37.00;ns;ns;75;Artois_30;disc07_30
2011;MASTER LMD;0623957P;Artois;A09;Lille;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;88;ns;ns;ns;37.00;ns;ns;79;Artois_30;disc06_30
2010;MASTER LMD;0840685N;Avignon;A02;Aix-Marseille;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;78;ns;ns;ns;38.00;ns;ns;nd;Avignon_30;disc07_30
2013;MASTER LMD;0333298F;Bordeaux;A04;Bordeaux;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;76;ns;ns;ns;28.00;ns;ns;81;Bordeaux_30;disc11_30
2012;MASTER LMD;0333298F;Bordeaux;A04;Bordeaux;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;82;ns;ns;ns;28.00;ns;ns;87;Bordeaux_30;disc11_30
2013;MASTER LMD;0333298F;Bordeaux;A04;Bordeaux;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;73;ns;nd;nd;28.00;ns;ns;81;Bordeaux_18;disc11_18
2012;MASTER LMD;0333298F;Bordeaux;A04;Bordeaux;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;79;ns;ns;ns;28.00;ns;ns;87;Bordeaux_18;disc11_18
2012;MASTER LMD;0290346U;Brest - Bretagne occidentale;A14;Rennes;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;80;ns;ns;ns;37.00;ns;ns;60;Brest - Bretagne occidentale_18;disc11_18
2012;MASTER LMD;0290346U;Brest - Bretagne occidentale;A14;Rennes;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;85;ns;ns;ns;37.00;ns;ns;60;Brest - Bretagne occidentale_30;disc11_30
2014;MASTER LMD;0290346U;Brest - Bretagne occidentale;A14;Rennes;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;90;ns;ns;ns;38.00;ns;ns;6;Brest - Bretagne occidentale_18;disc16_18
2014;MASTER LMD;0290346U;Brest - Bretagne occidentale;A14;Rennes;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;97;97;100;30300;38.00;ns;ns;6;Brest - Bretagne occidentale_30;disc16_30
2012;MASTER LMD;0951793H;Cergy-Pontoise;A25;Versailles;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;90;ns;ns;ns;16.00;ns;ns;64;Cergy-Pontoise_18;disc06_18
2013;MASTER LMD;0951793H;Cergy-Pontoise;A25;Versailles;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;97;53;100;ns;15.00;ns;ns;36;Cergy-Pontoise_18;disc05_18
2013;MASTER LMD;0951793H;Cergy-Pontoise;A25;Versailles;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;100;85;100;ns;15.00;ns;ns;36;Cergy-Pontoise_30;disc05_30
2011;MASTER LMD;0951793H;Cergy-Pontoise;A25;Versailles;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;94;64;96;ns;19.00;ns;ns;85;Cergy-Pontoise_30;disc06_30
2011;MASTER LMD;0951793H;Cergy-Pontoise;A25;Versailles;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;94;87;90;ns;19.00;ns;ns;59;Cergy-Pontoise_30;disc08_30
2013;MASTER LMD;0951793H;Cergy-Pontoise;A25;Versailles;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;94;90;ns;ns;15.00;ns;ns;14;Cergy-Pontoise_18;disc15_18
2013;MASTER LMD;0951793H;Cergy-Pontoise;A25;Versailles;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;94;90;100;ns;15.00;ns;ns;14;Cergy-Pontoise_30;disc15_30
2012;MASTER LMD;0951793H;Cergy-Pontoise;A25;Versailles;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;91;83;90;ns;16.00;ns;ns;64;Cergy-Pontoise_30;disc06_30
2013;MASTER LMD;0730858L;Chambéry - Savoie;A08;Grenoble;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;88;ns;ns;ns;29.00;ns;ns;36;Chambéry - Savoie_18;disc13_18
2013;MASTER LMD;0730858L;Chambéry - Savoie;A08;Grenoble;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;85;ns;ns;ns;29.00;ns;ns;36;Chambéry - Savoie_30;disc13_30
2014;LICENCE PRO;0211237F;Dijon - Bourgogne;A07;Dijon;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;91;80;87;ns;19.00;ns;ns;48;Dijon - Bourgogne_30;disc10_30
2014;LICENCE PRO;0211237F;Dijon - Bourgogne;A07;Dijon;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;81;ns;ns;ns;19.00;ns;ns;48;Dijon - Bourgogne_18;disc10_18
2011;MASTER LMD;0911975C;Evry Val-d'Essonne;A25;Versailles;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;76;ns;ns;ns;21.00;ns;ns;69;Evry Val-d'Essonne_30;disc07_30
2011;MASTER LMD;0911975C;Evry Val-d'Essonne;A25;Versailles;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;76;ns;ns;ns;21.00;ns;ns;69;Evry Val-d'Essonne_30;disc11_30
2010;MASTER LMD;0381839T;Grenoble 2 - Pierre Mendès France;A08;Grenoble;SHS;Sciences humaines et sociales;disc09;Psychologie;30 mois après le diplôme;94;58;90;ns;28.00;ns;ns;nd;Grenoble 2 - Pierre Mendès France_30;disc09_30
2013;MASTER LMD;9740478B;La Réunion;A28;La Réunion;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;85;ns;ns;ns;47.00;ns;ns;39;La Réunion_30;disc12_30
2013;MASTER LMD;9740478B;La Réunion;A28;La Réunion;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;76;ns;ns;ns;47.00;ns;ns;39;La Réunion_18;disc12_18
2012;MASTER LMD;0593561A;Lille 3 - Charles-de-Gaulle;A09;Lille;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;18 mois après le diplôme;79;ns;ns;ns;39.00;ns;ns;78;Lille 3 - Charles-de-Gaulle_18;disc08_18
2012;MASTER LMD;0593561A;Lille 3 - Charles-de-Gaulle;A09;Lille;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;76;ns;ns;ns;39.00;ns;ns;78;Lille 3 - Charles-de-Gaulle_30;disc08_30
2011;MASTER LMD;0595964M;Littoral - Côte d'Opale;A09;Lille;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;85;ns;ns;ns;22.00;ns;ns;71;Littoral - Côte d'Opale_30;disc11_30
2014;LICENCE PRO;0691775E;Lyon 2 - Lumière;A10;Lyon;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;97;84;97;ns;12.00;ns;ns;66;Lyon 2 - Lumière_30;disc02_30
2014;LICENCE PRO;0691775E;Lyon 2 - Lumière;A10;Lyon;DEG;Droit, économie et gestion;disc02;Droit;18 mois après le diplôme;86;67;ns;ns;12.00;ns;ns;66;Lyon 2 - Lumière_18;disc02_18
2010;MASTER LMD;0691775E;Lyon 2 - Lumière;A10;Lyon;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;100;91;100;ns;26.00;ns;ns;nd;Lyon 2 - Lumière_30;disc16_30
2010;MASTER LMD;0691775E;Lyon 2 - Lumière;A10;Lyon;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;100;91;100;ns;26.00;ns;ns;nd;Lyon 2 - Lumière_30;disc12_30
2012;MASTER LMD;0342321N;Montpellier;A11;Montpellier;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;97;ns;ns;ns;36.00;ns;ns;42;Montpellier_18;disc17_18
2012;MASTER LMD;0342321N;Montpellier;A11;Montpellier;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;94;74;87;ns;36.00;ns;ns;42;Montpellier_30;disc17_30
2013;LICENCE PRO;0342321N;Montpellier;A11;Montpellier;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;97;87;ns;ns;17.00;ns;ns;9;Montpellier_18;disc16_18
2013;LICENCE PRO;0342321N;Montpellier;A11;Montpellier;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;100;94;100;ns;17.00;ns;ns;9;Montpellier_30;disc16_30
2011;MASTER LMD;0341088Y;Montpellier 2 - Sciences techniques du Languedoc;A11;Montpellier;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;94;90;100;ns;37.00;ns;ns;18;Montpellier 2 - Sciences techniques du Languedoc_30;disc16_30
2013;MASTER LMD;0341089Z;Montpellier 3 - Paul-Valéry;A11;Montpellier;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;80;ns;ns;ns;53.00;ns;ns;66;Montpellier 3 - Paul-Valéry_18;disc05_18
2013;MASTER LMD;0341089Z;Montpellier 3 - Paul-Valéry;A11;Montpellier;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;79;ns;ns;ns;53.00;ns;ns;66;Montpellier 3 - Paul-Valéry_30;disc05_30
2013;MASTER LMD;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;85;ns;ns;ns;18.00;ns;ns;75;Mulhouse - Haute Alsace_30;disc07_30
2013;MASTER LMD;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;91;ns;ns;ns;18.00;ns;ns;75;Mulhouse - Haute Alsace_18;disc07_18
2013;LICENCE PRO;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;88;ns;ns;ns;15.00;ns;ns;63;Mulhouse - Haute Alsace_18;disc07_18
2013;LICENCE PRO;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;94;68;87;ns;15.00;ns;ns;63;Mulhouse - Haute Alsace_30;disc07_30
2014;LICENCE PRO;0301687W;Nîmes;A11;Montpellier;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;97;84;100;ns;34.00;ns;ns;78;Nîmes_18;disc14_18
2014;LICENCE PRO;0301687W;Nîmes;A11;Montpellier;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;100;94;100;ns;34.00;ns;ns;78;Nîmes_30;disc14_30
2013;MASTER LMD;0440984F;Nantes;A17;Nantes;SHS;Sciences humaines et sociales;disc09;Psychologie;30 mois après le diplôme;94;55;68;ns;28.00;ns;ns;93;Nantes_30;disc09_30
2012;MASTER LMD;0440984F;Nantes;A17;Nantes;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;91;47;81;ns;31.00;ns;ns;78;Nantes_18;disc06_18
2011;MASTER LMD;0440984F;Nantes;A17;Nantes;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;78;ns;ns;ns;29.00;ns;ns;58;Nantes_30;disc08_30
2011;MASTER LMD;0440984F;Nantes;A17;Nantes;SHS;Sciences humaines et sociales;disc09;Psychologie;30 mois après le diplôme;94;45;55;ns;29.00;ns;ns;91;Nantes_30;disc09_30
2013;MASTER LMD;0440984F;Nantes;A17;Nantes;SHS;Sciences humaines et sociales;disc09;Psychologie;18 mois après le diplôme;91;ns;ns;ns;28.00;ns;ns;93;Nantes_18;disc09_18
2012;MASTER LMD;0440984F;Nantes;A17;Nantes;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;85;ns;ns;ns;31.00;ns;ns;78;Nantes_30;disc06_30
2010;MASTER LMD;0440984F;Nantes;A17;Nantes;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;73;ns;ns;ns;31.00;ns;ns;nd;Nantes_30;disc08_30
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;79;ns;ns;ns;28.00;ns;ns;78;Nice - Sophia-Antipolis_30;disc10_30
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;77;ns;ns;ns;28.00;ns;ns;78;Nice - Sophia-Antipolis_18;disc10_18
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Economie;18 mois après le diplôme;94;ns;ns;ns;26.00;ns;ns;43;Nice - Sophia-Antipolis_18;disc03_18
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Economie;30 mois après le diplôme;97;78;100;ns;26.00;ns;ns;43;Nice - Sophia-Antipolis_30;disc03_30
2012;MASTER LMD;0751723R;Paris 7 - Denis Diderot;A01;Paris;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;85;ns;ns;ns;22.00;ns;ns;45;Paris 7 - Denis Diderot_30;disc14_30
2012;MASTER LMD;0751723R;Paris 7 - Denis Diderot;A01;Paris;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;76;ns;ns;ns;22.00;ns;ns;45;Paris 7 - Denis Diderot_18;disc14_18
2011;MASTER LMD;0921204J;Paris Ouest Nanterre La Défense;A25;Versailles;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;94;68;87;ns;19.00;ns;ns;94;Paris Ouest Nanterre La Défense_30;disc10_30
2013;MASTER LMD;0941111X;Paris-Est Créteil;A24;Créteil;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;85;ns;ns;ns;24.00;ns;ns;87;Paris-Est Créteil_30;disc02_30
2013;MASTER LMD;0941111X;Paris-Est Créteil;A24;Créteil;DEG;Droit, économie et gestion;disc02;Droit;18 mois après le diplôme;ns;ns;ns;ns;24.00;ns;ns;87;Paris-Est Créteil_18;disc02_18
2014;LICENCE PRO;0772502B;Paris-Est Marne-la-Vallée;A24;Créteil;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;91;77;100;ns;8.00;ns;ns;33;Paris-Est Marne-la-Vallée_30;disc10_30
2014;LICENCE PRO;0772502B;Paris-Est Marne-la-Vallée;A24;Créteil;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;79;ns;ns;ns;8.00;ns;ns;33;Paris-Est Marne-la-Vallée_18;disc10_18
2014;MASTER LMD;0772502B;Paris-Est Marne-la-Vallée;A24;Créteil;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;97;97;100;ns;14.00;ns;ns;9;Paris-Est Marne-la-Vallée_30;disc16_30
2014;MASTER LMD;0772502B;Paris-Est Marne-la-Vallée;A24;Créteil;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;97;97;100;ns;14.00;ns;ns;9;Paris-Est Marne-la-Vallée_18;disc16_18
2010;MASTER LMD;0640251A;Pau - Pays de l'Adour;A04;Bordeaux;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;70;ns;ns;ns;33.00;ns;ns;nd;Pau - Pays de l'Adour_30;disc13_30
2013;MASTER ENS;0640251A;Pau - Pays de l'Adour;A04;Bordeaux;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;97;83;nd;nd;;ns;ns;67;Pau - Pays de l'Adour_18;disc18_18
2012;MASTER LMD;0640251A;Pau - Pays de l'Adour;A04;Bordeaux;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;69;ns;ns;ns;34.00;ns;ns;57;Pau - Pays de l'Adour_18;disc11_18
2013;MASTER ENS;0640251A;Pau - Pays de l'Adour;A04;Bordeaux;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;100;84;97;ns;;ns;ns;67;Pau - Pays de l'Adour_30;disc18_30
2012;MASTER LMD;0640251A;Pau - Pays de l'Adour;A04;Bordeaux;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;73;ns;ns;ns;34.00;ns;ns;57;Pau - Pays de l'Adour_30;disc11_30
2014;LICENCE PRO;0860856N;Poitiers;A13;Poitiers;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;94;87;83;ns;30.00;ns;ns;34;Poitiers_30;disc17_30
2014;LICENCE PRO;0860856N;Poitiers;A13;Poitiers;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;93;62;82;ns;30.00;ns;ns;34;Poitiers_18;disc17_18
2011;MASTER LMD;0511296G;Reims - Champagne Ardenne;A19;Reims;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;85;ns;ns;ns;34.00;ns;ns;69;Reims - Champagne Ardenne_30;disc06_30
2014;LICENCE PRO;0511296G;Reims - Champagne Ardenne;A19;Reims;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;100;70;97;ns;26.00;ns;ns;61;Reims - Champagne Ardenne_30;disc13_30
2014;LICENCE PRO;0511296G;Reims - Champagne Ardenne;A19;Reims;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;91;47;93;ns;26.00;ns;ns;61;Reims - Champagne Ardenne_18;disc13_18
